id,name,lastname,price,flycode,typePassenger,statusFlight
77,Sacha,Peana,25000.00,IB0800A,2,Aterrizado
78,Morse,Godoy,25000.00,IB0800A,2,Aterrizado
79,Roland,Lagos,25000.00,IB0800A,2,Aterrizado
80,Jesselyn,Maldonado,30000.00,IB0800A,2,Aterrizado
81,Kylila,Bustos,12000.00,IB0800A,2,Aterrizado
82,Kendre,Medina,25000.00,IB0800A,2,Aterrizado
83,Lesya,Pino,15000.00,IB0800A,2,Aterrizado
84,Tatiania,Palma,20000.00,IB0800A,2,Aterrizado
85,Trenton,Moreno,12000.00,IB0800A,2,Aterrizado
86,Angie,Sanhueza,20000.00,MM0987B,1,En Horario
87,Joelle,Carvajal,37000.00,MM0987B,1,En Horario
88,George,Navarrete,30000.00,MM0987B,2,En Horario
89,Guenevere,Saez,30000.00,MM0987B,2,En Horario
90,Margaretha,Alvarado,10000.00,MM0987B,2,En Horario
91,Sully,Donoso,15000.00,MM0987B,2,En Horario
92,Lonni,Poblete,50000.00,MM0987B,2,En Horario
93,Nicky,Bustamante,42000.00,MM0987B,2,En Horario
94,My,Toro,18000.00,MM0987B,2,En Horario
95,Kyrstin,Ortega,37000.00,IB0800A,2,Aterrizado
96,Martino,Venegas,15000.00,IB0800A,2,Aterrizado
97,Marcellus,Guerrero,50000.00,IB0800A,2,Aterrizado
98,Jacquelin,Mendoza,30000.00,IB0800A,2,Aterrizado
99,Aleda,Faraas,50000.00,IB0800A,2,Aterrizado
100,Georgeta,San Martan,10000.00,IB0800A,2,Aterrizado
101,Marcille,Gonzalez,10000.00,IB0800A,2,Aterrizado
102,Ertha,Fernandez,10000.00,IB0800A,2,Aterrizado
103,Desiri,Rodraguez,25000.00,MM0987B,2,En Horario
104,Geneva,Lampez,33000.00,MM0987B,2,En Horario
105,Kilian,Martanez,42000.00,MM0987B,2,En Horario
106,Nance,Sanchez,10000.00,MM0987B,2,En Horario
107,Gaven,Parez,10000.00,MM0987B,2,En Horario
108,Carlie,Gammez,10000.00,MM0987B,2,En Horario
109,Trixie,Martan,42000.00,IB0800A,2,Aterrizado
110,Dominick,Jimanez,30000.00,IB0800A,2,Aterrizado
111,Petey,Ruiz,15000.00,IB0800A,2,Aterrizado
112,Tersina,Hernandez,30000.00,IB0800A,2,Aterrizado
113,Johnathon,Daaz,15000.00,IB0800A,2,Aterrizado
114,Freddie,Moreno,12000.00,IB0800A,2,Aterrizado
115,Harmon,Gonzalez,50000.00,IB0800A,2,Aterrizado
116,Tracey,Muanoz,20000.00,IB0800A,2,Aterrizado
117,Cherrita,Romero,33000.00,MM0987B,2,En Horario
118,Stu,Alonso,12000.00,MM0987B,2,En Horario
119,Glenda,Gutiarrez,37000.00,MM0987B,2,En Horario
120,Lorettalorna,Navarro,25000.00,MM0987B,2,En Horario
121,Patrizio,Torres,15000.00,IB0800A,2,Aterrizado
122,Linda,Domanguez,30000.00,IB0800A,2,Aterrizado
123,Pippa,Vazquez,20000.00,IB0800A,2,Aterrizado
124,Pen,Ramos,18000.00,IB0800A,3,Aterrizado
125,Esteban,Gonzalez,15000.00,IB0800A,3,Aterrizado
126,Fonzie,Muanoz,15000.00,IB0800A,3,Aterrizado
127,Cindelyn,Rojas,12000.00,IB0800A,3,Aterrizado
128,Zacharie,Daaz,30000.00,BA2491A,2,Aterrizado
129,Vina,Parez,42000.00,BA2491A,2,Aterrizado
130,Omero,Soto,10000.00,BA2491A,2,Aterrizado
131,Tom,Contreras,33000.00,BA2491A,2,Aterrizado
132,Dante,Silva,30000.00,BA2491A,2,Aterrizado
133,Cordy,Martanez,18000.00,BA2491A,2,Aterrizado
134,Stephenie,Sepalveda,50000.00,BA2491A,2,Aterrizado
135,Dunstan,Morales,20000.00,BA2491A,2,Aterrizado
136,Gideon,Rodraguez,15000.00,BA2491A,2,Aterrizado
137,Johnette,Lampez,10000.00,BA2491A,2,Aterrizado
138,Brynn,Fuentes,50000.00,BA2491A,2,Aterrizado
139,Yankee,Hernandez,42000.00,BA2491A,2,Aterrizado
140,Corbin,Torres,42000.00,BA2491A,2,Aterrizado
141,Coreen,Araya,18000.00,IB0800A,3,Aterrizado
142,Tanya,Flores,30000.00,IB0800A,3,Aterrizado
143,Jenna,Espinoza,25000.00,IB0800A,3,Aterrizado
144,Flora,Valenzuela,33000.00,IB0800A,3,Aterrizado
145,Dianna,Castillo,20000.00,IB0800A,3,Aterrizado
146,Armand,Tapia,15000.00,IB0800A,3,Aterrizado
147,Gustie,Reyes,42000.00,IB0800A,3,Aterrizado
148,Benton,Gutiarrez,12000.00,IB0800A,3,Aterrizado
149,Lena,Castro,25000.00,IB0800A,3,Aterrizado
150,Dot,Pizarro,18000.00,IB0800A,3,Aterrizado
151,Meryl,Gonzalez,12000.00,IB0800A,3,Aterrizado
152,Babbie,Vasquez,15000.00,IB0800A,3,Aterrizado
153,Byram,Sanchez,42000.00,IB0800A,3,Aterrizado
154,Bertine,Fernandez,25000.00,IB0800A,3,Aterrizado
155,Osbert,Ramarez,42000.00,IB0800A,3,Aterrizado
156,Tanny,Carrasco,42000.00,IB0800A,3,Aterrizado
157,Maryjo,Gammez,12000.00,IB0800A,3,Aterrizado
158,Clarie,Cortas,42000.00,IB0800A,3,Aterrizado
159,Kipp,Herrera,15000.00,IB0800A,3,Aterrizado
160,Leonie,Naanez,50000.00,IB0800A,3,Aterrizado
161,Ferdie,Jara,15000.00,IB0800A,3,Aterrizado
162,Ofella,Vergara,50000.00,IB0800A,3,Aterrizado
163,Pascale,Rivera,15000.00,IB0800A,3,Aterrizado
164,Cathrin,Figueroa,30000.00,IB0800A,3,Aterrizado
165,Sib,Riquelme,33000.00,IB0800A,3,Aterrizado
166,Darleen,Garcaa,42000.00,IB0800A,3,Aterrizado
167,Didi,Miranda,15000.00,IB0800A,3,Aterrizado
168,Lodovico,Bravo,18000.00,IB0800A,3,Aterrizado
169,Farley,Vera,12000.00,IB0800A,3,Aterrizado
170,Devi,Molina,25000.00,IB0800A,3,Aterrizado
171,Clair,Vega,37000.00,IB0800A,3,Aterrizado
172,Addy,Campos,33000.00,IB0800A,3,Aterrizado
173,Brandon,Sandoval,18000.00,IB0800A,3,Aterrizado
174,Prentiss,Orellana,30000.00,IB0800A,3,Aterrizado
175,Lorant,Cardenas,50000.00,MM0987B,2,En Horario
176,Wanids,Olivares,30000.00,MM0987B,2,En Horario
177,Robbi,Alarcamn,10000.00,MM0987B,2,En Horario
178,Mellicent,Gallardo,50000.00,MM0987B,2,En Horario
179,Lynea,Ortiz,20000.00,MM0987B,2,En Horario
180,Nial,Garrido,15000.00,MM0987B,2,En Horario
181,Guillaume,Salazar,37000.00,MM0987B,2,En Horario
182,Loutitia,Guzman,25000.00,MM0987B,2,En Horario
183,Ruthe,Henraquez,30000.00,MM0987B,2,En Horario
184,Eric,Saavedra,50000.00,MM0987B,2,En Horario
185,Marcellus,Navarro,30000.00,MM0987B,2,En Horario
186,Ian,Aguilera,42000.00,MM0987B,2,En Horario
187,Sebastien,Parra,37000.00,MM0987B,2,En Horario
188,Scarface,Romero,50000.00,MM0987B,2,En Horario
189,Maible,Aravena,18000.00,MM0987B,2,En Horario
190,Waldon,Vargas,30000.00,MM0987B,2,En Horario
191,Bethina,Vazquez,15000.00,MM0987B,2,En Horario
192,Farand,Caceres,42000.00,MM0987B,2,En Horario
193,Zolly,Yaanez,25000.00,MM0987B,2,En Horario
194,Philipa,Leiva,42000.00,TU6789B,1,Aterrizado
195,Roderigo,Escobar,20000.00,BA2491A,2,Aterrizado
196,Otho,Ruiz,20000.00,BA2491A,2,Aterrizado
197,Alasteir,Valdas,20000.00,BA2491A,2,Aterrizado
198,Eleonora,Vidal,42000.00,BA2491A,3,Aterrizado
199,Eliot,Salinas,12000.00,BA2491A,3,Aterrizado
200,Alana,Zaaniga,30000.00,BA2491A,3,Aterrizado
201,Odey,Peana,20000.00,BA2491A,3,Aterrizado
202,Yorke,Godoy,15000.00,BA2491A,3,Aterrizado
203,Cissiee,Lagos,18000.00,BA2491A,3,Aterrizado
204,Jillana,Maldonado,18000.00,BA2491A,3,Aterrizado
205,Mallorie,Bustos,30000.00,TU6789B,1,Aterrizado
206,Borden,Medina,12000.00,TU6789B,1,Aterrizado
207,Maddie,Pino,33000.00,TU6789B,1,Aterrizado
208,Weider,Palma,50000.00,TU6789B,1,Aterrizado
209,Asia,Moreno,37000.00,TU6789B,1,Aterrizado
210,Sayres,Sanhueza,10000.00,TU6789B,1,Aterrizado
211,Marcile,Carvajal,30000.00,TU6789B,1,Aterrizado
212,Thomasina,Navarrete,42000.00,TU6789B,1,Aterrizado
213,Darwin,Saez,18000.00,TU6789B,1,Aterrizado
214,Nicolina,Alvarado,30000.00,TU6789B,1,Aterrizado
215,Nita,Donoso,12000.00,TU6789B,1,Aterrizado
216,Nikoletta,Poblete,12000.00,TU6789B,1,Aterrizado
217,Dwight,Bustamante,42000.00,TU6789B,1,Aterrizado
218,Romola,Toro,50000.00,TU6789B,1,Aterrizado
219,Kaile,Ortega,33000.00,TU6789B,1,Aterrizado
220,Mozes,Venegas,25000.00,TU6789B,1,Aterrizado
221,Aylmer,Guerrero,33000.00,TU6789B,1,Aterrizado
222,Marina,Mendoza,12000.00,TU6789B,1,Aterrizado
223,Enrico,Faraas,50000.00,TU6789B,1,Aterrizado
224,Zonda,San Martan,33000.00,TU6789B,1,Aterrizado
225,Adriano,Gonzalez,33000.00,TU6789B,1,Aterrizado
226,Trula,Fernandez,30000.00,TU6789B,1,Aterrizado
227,Adel,Rodraguez,30000.00,TU6789B,1,Aterrizado
228,Jeniece,Lampez,15000.00,TU6789B,1,Aterrizado
229,Tabina,Martanez,10000.00,TU6789B,1,Aterrizado
230,Liana,Sanchez,33000.00,TU6789B,1,Aterrizado
231,Marmaduke,Parez,10000.00,BA2491A,3,Aterrizado
232,Alla,Gammez,30000.00,BA2491A,3,Aterrizado
233,Peter,Martan,12000.00,BA2491A,3,Aterrizado
234,Pietro,Jimanez,18000.00,BA2491A,3,Aterrizado
235,Hiram,Ruiz,20000.00,BA2491A,3,Aterrizado
236,Anastasia,Hernandez,18000.00,BA2491A,3,Aterrizado
237,Cathleen,Daaz,10000.00,TU6789B,1,Aterrizado
238,Leeanne,Moreno,15000.00,TU6789B,1,Aterrizado
239,Chet,Gonzalez,42000.00,TU6789B,1,Aterrizado
240,Billie,Muanoz,37000.00,TU6789B,1,Aterrizado
241,Alexandra,Romero,42000.00,TU6789B,1,Aterrizado
242,Broddie,Alonso,42000.00,TU6789B,2,Aterrizado
243,Brigham,Gutiarrez,25000.00,TU6789B,2,Aterrizado
244,Cal,Navarro,42000.00,TU6789B,2,Aterrizado
245,Donal,Torres,18000.00,TU6789B,2,Aterrizado
246,Adam,Domanguez,20000.00,TU6789B,2,Aterrizado
247,Dotty,Vazquez,42000.00,TU6789B,2,Aterrizado
248,Maynard,Ramos,18000.00,TU6789B,2,Aterrizado
249,Jessee,Gonzalez,30000.00,TU6789B,2,Aterrizado
250,Tiphani,Muanoz,42000.00,TU6789B,2,Aterrizado
251,Jenna,Rojas,30000.00,TU6789B,2,Aterrizado
252,Karlotte,Daaz,20000.00,BA2491A,3,Aterrizado
253,Norene,Parez,25000.00,BA2491A,3,Aterrizado
254,Morris,Soto,10000.00,BA2491A,3,Aterrizado
255,Yuri,Contreras,25000.00,BA2491A,3,Aterrizado
256,Gusty,Silva,10000.00,BA2491A,3,Aterrizado
257,Jori,Martanez,12000.00,BA2491A,3,Aterrizado
258,Sydelle,Sepalveda,30000.00,BA2491A,3,Aterrizado
259,Merrile,Morales,50000.00,BA2491A,3,Aterrizado
260,Tadd,Rodraguez,50000.00,TU6789B,2,Aterrizado
261,Josiah,Lampez,10000.00,TU6789B,2,Aterrizado
262,Melisa,Fuentes,12000.00,TU6789B,2,Aterrizado
263,Orelee,Hernandez,20000.00,TU6789B,2,Aterrizado
264,Stephen,Torres,37000.00,TU6789B,2,Aterrizado
265,Blair,Araya,50000.00,TU6789B,2,Aterrizado
266,Arel,Flores,30000.00,TU6789B,2,Aterrizado
267,Abbie,Espinoza,25000.00,TU6789B,2,Aterrizado
268,Channa,Valenzuela,50000.00,TU6789B,2,Aterrizado
269,Shirl,Castillo,20000.00,TU6789B,2,Aterrizado
270,Edlin,Tapia,20000.00,TU6789B,2,Aterrizado
271,Larina,Reyes,18000.00,TU6789B,2,Aterrizado
272,Duncan,Gutiarrez,37000.00,TU6789B,2,Aterrizado
273,Bond,Castro,10000.00,TU6789B,2,Aterrizado
274,Dyann,Pizarro,50000.00,TU6789B,2,Aterrizado
275,Charmian,Gonzalez,15000.00,TU6789B,2,Aterrizado
276,Dru,Vasquez,50000.00,TU6789B,2,Aterrizado
277,Kiel,Sanchez,50000.00,TU6789B,2,Aterrizado
278,Emory,Fernandez,15000.00,TU6789B,2,Aterrizado
279,Alberik,Ramarez,50000.00,TU6789B,2,Aterrizado
280,Koenraad,Carrasco,20000.00,TU6789B,2,Aterrizado
281,Rafaellle,Gammez,50000.00,TU6789B,2,Aterrizado
282,Edie,Cortas,25000.00,TU6789B,2,Aterrizado
283,Osbert,Herrera,15000.00,TU6789B,2,Aterrizado
284,Sidonia,Naanez,10000.00,TU6789B,2,Aterrizado
285,Bartel,Jara,37000.00,TU6789B,2,Aterrizado
286,Jodi,Vergara,30000.00,BA2491A,3,Aterrizado
287,Ofelia,Rivera,30000.00,BA2491A,3,Aterrizado
288,Dudley,Figueroa,42000.00,BA2491A,3,Aterrizado
289,Dulcea,Riquelme,25000.00,BA2491A,3,Aterrizado
290,Gordon,Garcaa,25000.00,BA2491A,3,Aterrizado
291,Chalmers,Miranda,10000.00,BA2491A,3,Aterrizado
292,Christiano,Bravo,50000.00,BA2491A,3,Aterrizado
293,Russell,Vera,50000.00,BA2491A,3,Aterrizado
294,Cleo,Molina,50000.00,BA2491A,3,Aterrizado
295,Catriona,Vega,42000.00,TU6789B,2,Aterrizado
296,Leigh,Campos,37000.00,TU6789B,2,Aterrizado
297,Ddene,Sandoval,12000.00,TU6789B,2,Aterrizado
298,Sayre,Orellana,18000.00,TU6789B,3,Aterrizado
299,Jody,Cardenas,33000.00,TU6789B,3,Aterrizado
300,Zabrina,Olivares,12000.00,TU6789B,3,Aterrizado
301,Cos,Alarcamn,30000.00,TU6789B,3,Aterrizado
302,Ron,Gallardo,20000.00,TU6789B,3,Aterrizado
303,Charin,Ortiz,12000.00,TU6789B,3,Aterrizado
304,Coleman,Garrido,33000.00,TU6789B,3,Aterrizado
305,Jacinda,Salazar,50000.00,TU6789B,3,Aterrizado
306,Silvan,Guzman,12000.00,TU6789B,3,Aterrizado
307,Renie,Henraquez,33000.00,TU6789B,3,Aterrizado
308,Davide,Saavedra,42000.00,TU6789B,3,Aterrizado
309,Ernestus,Navarro,12000.00,TU6789B,3,Aterrizado
310,Brnaba,Aguilera,37000.00,TU6789B,3,Aterrizado
311,Tabor,Parra,37000.00,TU6789B,3,Aterrizado
312,Lenci,Romero,42000.00,TU6789B,3,Aterrizado
313,Franchot,Aravena,12000.00,TU6789B,3,Aterrizado
314,Charisse,Vargas,50000.00,TU6789B,3,Aterrizado
315,Timothea,Vazquez,20000.00,TU6789B,3,Aterrizado
316,Angelika,Caceres,50000.00,BA2491A,3,Aterrizado
317,Web,Yaanez,37000.00,BA2491A,3,Aterrizado
318,Urban,Leiva,10000.00,BA2491A,3,Aterrizado
319,Fan,Escobar,18000.00,BA2491A,3,Aterrizado
320,Donaugh,Ruiz,12000.00,BA2491A,3,Aterrizado
321,Wilona,Valdas,25000.00,BA2491A,3,Aterrizado
322,Richard,Vidal,42000.00,BA2491A,3,Aterrizado
323,Hilary,Salinas,37000.00,BA2491A,3,Aterrizado
324,Ad,Zaaniga,33000.00,BA2491A,3,Aterrizado
325,Maynord,Peana,42000.00,BA2491A,3,Aterrizado
326,Lina,Godoy,12000.00,TU6789B,3,Aterrizado
327,Nerty,Lagos,20000.00,TU6789B,3,Aterrizado
328,Matias,Maldonado,33000.00,TU6789B,3,Aterrizado
329,Urbano,Bustos,50000.00,TU6789B,3,Aterrizado
330,Rosemarie,Medina,33000.00,TU6789B,3,Aterrizado
331,Booth,Pino,15000.00,TU6789B,3,Aterrizado
332,Eden,Palma,18000.00,TU6789B,3,Aterrizado
333,Cornie,Moreno,15000.00,TU6789B,3,Aterrizado
334,Isak,Sanhueza,20000.00,TU6789B,3,Aterrizado
335,Rand,Carvajal,20000.00,TU6789B,3,Aterrizado
336,Dominique,Navarrete,37000.00,TU6789B,3,Aterrizado
337,Lira,Saez,30000.00,TU6789B,3,Aterrizado
338,Filbert,Alvarado,20000.00,TU6789B,3,Aterrizado
339,Nona,Donoso,30000.00,TU6789B,3,Aterrizado
340,Melloney,Poblete,33000.00,TU6789B,3,Aterrizado
341,Rafaello,Bustamante,37000.00,TU6789B,3,Aterrizado
342,Floria,Toro,12000.00,TU6789B,3,Aterrizado
343,Johannes,Ortega,18000.00,TU6789B,3,Aterrizado
344,Genevra,Venegas,10000.00,TU6789B,3,Aterrizado
345,Aldric,Guerrero,50000.00,TU6789B,3,Aterrizado
346,Janeta,Mendoza,10000.00,TU6789B,3,Aterrizado
347,Tarra,Faraas,12000.00,TU6789B,3,Aterrizado
348,Jefferey,San Martan,33000.00,TU6789B,3,Aterrizado
349,Cassie,Gonzalez,50000.00,TU6789B,3,Aterrizado
350,Maiga,Fernandez,20000.00,TU6789B,3,Aterrizado
351,Heddi,Rodraguez,20000.00,TU6789B,3,Aterrizado
352,Marieann,Lampez,50000.00,TU6789B,3,Aterrizado
353,Carita,Martanez,42000.00,TU6789B,3,Aterrizado
354,Kurtis,Sanchez,50000.00,TU6789B,3,Aterrizado
355,Wilfred,Parez,20000.00,TU6789B,3,Aterrizado
356,Isabelle,Gammez,20000.00,TU6789B,3,Aterrizado
357,Nisse,Martan,37000.00,TU6789B,3,Aterrizado
358,Ula,Jimanez,50000.00,TU6789B,3,Aterrizado
359,Tully,Ruiz,18000.00,TU6789B,3,Aterrizado
360,Honor,Hernandez,30000.00,TU6789B,3,Aterrizado
361,Sinclair,Daaz,50000.00,TU6789B,3,Aterrizado
362,Buddy,Moreno,50000.00,TU6789B,3,Aterrizado
363,Neilla,Gonzalez,50000.00,TU6789B,3,Aterrizado
364,Junie,Muanoz,20000.00,TU6789B,3,Aterrizado
365,Neely,Romero,20000.00,TU6789B,3,Aterrizado
366,Klarrisa,Alonso,18000.00,TU6789B,3,Aterrizado
367,Maryellen,Gutiarrez,37000.00,TU6789B,3,Aterrizado
368,Clywd,Navarro,33000.00,TU6789B,3,Aterrizado
369,Deni,Torres,42000.00,TU6789B,3,Aterrizado
370,Ingrim,Domanguez,30000.00,TU6789B,3,Aterrizado
371,Franni,Vazquez,42000.00,TU6789B,3,Aterrizado
372,Andy,Ramos,37000.00,TU6789B,3,Aterrizado
373,Veronica,Gonzalez,42000.00,TU6789B,3,Aterrizado
374,Dalis,Muanoz,42000.00,TU6789B,3,Aterrizado
375,Nanni,Rojas,25000.00,BA2491A,3,Aterrizado
376,Vikky,Daaz,15000.00,BA2491A,3,Aterrizado
377,Hussein,Parez,25000.00,BA2491A,3,Aterrizado
378,Brigg,Soto,10000.00,BA2491A,3,Aterrizado
379,Crawford,Contreras,12000.00,BA2491A,3,Aterrizado
380,Fran,Silva,30000.00,BA2491A,3,Aterrizado
381,Silas,Martanez,15000.00,BA2491A,3,Aterrizado
382,Alister,Sepalveda,33000.00,BA2491A,3,Aterrizado
383,George,Morales,15000.00,TU6789B,3,Aterrizado
384,Nonnah,Rodraguez,25000.00,TU6789B,3,Aterrizado
385,Gayel,Lampez,20000.00,TU6789B,3,Aterrizado
386,Demeter,Fuentes,10000.00,TU6789B,3,Aterrizado
387,Juliann,Hernandez,50000.00,TU6789B,3,Aterrizado
388,Shauna,Torres,25000.00,TU6789B,3,Aterrizado
389,Annamaria,Araya,42000.00,TU6789B,3,Aterrizado
390,Ag,Flores,50000.00,TU6789B,3,Aterrizado
391,Sherwin,Espinoza,50000.00,MM0987B,2,En Horario
392,Vikki,Valenzuela,33000.00,MM0987B,2,En Horario
393,Barret,Castillo,10000.00,MM0987B,2,En Horario
394,Gaelan,Tapia,25000.00,MM0987B,2,En Horario
395,Livy,Reyes,20000.00,MM0987B,2,En Horario
396,Iorgos,Gutiarrez,18000.00,MM0987B,2,En Horario
397,Charil,Castro,33000.00,MM0987B,2,En Horario
398,Easter,Pizarro,30000.00,MM0987B,2,En Horario
399,Esdras,Gonzalez,37000.00,MM0987B,2,En Horario
400,Prince,Vasquez,25000.00,MM0987B,3,En Horario
401,Vail,Sanchez,33000.00,MM0987B,3,En Horario
402,Rachel,Fernandez,12000.00,MM0987B,3,En Horario
403,Bar,Ramarez,20000.00,TU6789B,3,Aterrizado
404,Willa,Carrasco,30000.00,TU6789B,3,Aterrizado
405,Amerigo,Gammez,33000.00,TU6789B,3,Aterrizado
406,Fredric,Cortas,50000.00,TU6789B,3,Aterrizado
407,Mikael,Herrera,50000.00,TU6789B,3,Aterrizado
408,Benson,Naanez,20000.00,TU6789B,3,Aterrizado
409,Sileas,Jara,20000.00,TU6789B,3,Aterrizado
410,Fidelia,Vergara,12000.00,TU6789B,3,Aterrizado
411,Frayda,Rivera,30000.00,TU6789B,3,Aterrizado
412,Babita,Figueroa,30000.00,TU6789B,3,Aterrizado
413,Clair,Riquelme,42000.00,TU6789B,3,Aterrizado
414,Morie,Garcaa,12000.00,TU6789B,3,Aterrizado
415,Skylar,Miranda,20000.00,TU6789B,3,Aterrizado
416,Dennie,Bravo,42000.00,TU6789B,3,Aterrizado
417,Sibley,Vera,20000.00,TU6789B,3,Aterrizado
418,Addia,Molina,20000.00,TU6789B,3,Aterrizado
419,Ed,Vega,18000.00,TU6789B,3,Aterrizado
420,Lothaire,Campos,12000.00,TU6789B,3,Aterrizado
421,Neila,Sandoval,15000.00,TU6789B,3,Aterrizado
422,Jennifer,Orellana,15000.00,GU2345F,1,En Vuelo
423,Keelby,Cardenas,15000.00,GU2345F,1,En Vuelo
424,Chuck,Olivares,33000.00,GU2345F,1,En Vuelo
425,Jordan,Alarcamn,33000.00,GU2345F,1,En Vuelo
426,Minnnie,Gallardo,20000.00,GU2345F,1,En Vuelo
427,Carine,Ortiz,33000.00,GU2345F,1,En Vuelo
428,Kelly,Garrido,37000.00,GU2345F,1,En Vuelo
429,Coleman,Salazar,25000.00,GU2345F,1,En Vuelo
430,Pincus,Guzman,42000.00,GU2345F,1,En Vuelo
431,Smitty,Henraquez,15000.00,GU2345F,1,En Vuelo
432,Wade,Saavedra,12000.00,GU2345F,1,En Vuelo
433,Emmit,Navarro,12000.00,GU2345F,1,En Vuelo
434,Brietta,Aguilera,42000.00,GU2345F,1,En Vuelo
435,Wesley,Parra,10000.00,GU2345F,1,En Vuelo
436,Felicdad,Romero,18000.00,GU2345F,1,En Vuelo
437,Any,Aravena,18000.00,GU2345F,1,En Vuelo
